Temp, Average, Excellent, Good, Vg
Intercept,-1.26459937,-0.90271245,0.12653377,0.10226785
Gender,-0.01781636,-0.13544155,0.0441958,0.03766385
Caste,3.11521853,-1.81445338,-1.24287801,-1.47592781
coaching,0.01237438,-0.05321368,-0.04405036,0.11056835
Class\_ten\_education,0.11722213,0.00886037,0.05087238,-0.10506405
twelve\_education,-0.16784659,-0.05065793,-0.01617151,0.13366653
medium,-0.97598633,0.18653695,0.10438502,0.24280761
Class\_X\_Percentage,-0.0820304,0.1095626,0.01476941,0.00250025
Class\_XII\_Percentage,-0.16046432,0.18060521,-0.05455863,0.08717488
Father\_occupation,0.07526115,-0.1814358,0.11515915,-0.04528434
Mother\_occupation,0.03449017,-0.08900241,0.15169139,-0.06712911
Sum,0.68582299,-2.74135207,-0.75005159,-0.97675599
